gsi_lat,gsi_lon,gsi_name,gsi_kana,lfSpanFr,gaijiFlg,name1,name2,id,name,kana,alt,lat,lon,level,auth,distance
33.076885,129.819569,松岳,まつたけ,2012-10-12,0,松岳,松岳,14881,松岳,まつだけ,157,33.076845,129.819601,18,2,5.39
32.639566,129.817919,秋葉山,あきばやま,2012-10-12,0,秋葉山,秋葉山,14303,秋葉山,あきばさん,254,32.639547,129.817931,36,2,2.41
32.815024,129.818133,烏帽子岳,えぼしだけ,2012-10-12,0,烏帽子岳,烏帽子岳,14759,烏帽子岳,えぼしだけ,413,32.814985,129.818118,18,2,4.59
32.820607,129.819411,鳴鼓岳,なづみだけ,2012-10-12,0,鳴鼓岳,鳴鼓岳,14756,鳴鼓岳,なづみだけ,392,32.820552,129.819392,18,2,6.37
44.232817,142.108275,相雲内岳,そううんないだけ,2012-07-30,0,相雲内岳,相雲内岳,4520,相雲内岳,そううんないだけ,608,44.232813,142.108347,45,2,5.78
43.629214,142.110281,イルムケップ山,いるむけっぷやま,2012-07-30,0,イルムケップ山,イルムケップ山,63,イルムケップ山,いるむけっぷやま,864,43.629214,142.110281,36,1,0.04
36.524037,136.753986,キゴ山,きごやま,2012-10-12,0,キゴ山,キゴ山,7496,キゴ山,きごやま,546,36.524026,136.754027,18,2,3.86
36.688009,136.754699,立林山,たてばやしやま,2012-10-12,0,立林山,立林山,7642,立林山,たてばやしやま,81,36.687916,136.754651,18,2,11.20
34.270713,136.752836,黒森,くろもり,2012-10-12,0,黒森,黒森,8765,黒森,くろもり,96,34.270710,136.752800,18,2,3.32
35.987287,136.751608,杉山,すぎやま,2012-10-12,0,杉山,杉山,9459,杉山,すぎやま,1180,35.987258,136.751545,36,2,6.58
36.173711,136.752505,四塚山,よつづかやま,2012-10-12,0,四塚山,四塚山,7397,四塚山,よつづかやま,2530,36.172658,136.753714,18,2,159.65
36.088923,136.75445,三ノ峰,さんのみね,2012-10-12,0,三ノ峰,三ノ峰,14898,三ノ峰,さんのみね,2128,36.088900,136.754447,18,2,2.57
35.476329,136.75155,城ヶ峰,じょうがみね,2012-10-12,0,城ヶ峰,城ヶ峰,9330,城ヶ峰,しろがみね,288,35.476283,136.751563,18,2,5.20
36.531279,136.74691,戸室山,とむろやま,2012-10-12,0,戸室山,戸室山,7491,戸室山,とむろやま,548,36.531236,136.746947,36,2,5.80
35.449691,136.750883,鷺山,さぎやま,2012-10-12,0,鷺山,鷺山,9346,鷺山,さぎやま,68,35.449639,136.750866,36,2,6.00
36.304172,136.747011,大瓢箪山,おおふくべやま,2012-10-12,*_*_7C1E_*,大瓢簞山,大瓢簞山,7424,大瓢簞山,おおふくべやま,1549,36.304133,136.747021,36,2,4.44
33.821343,132.780603,天山,あまやま,2012-10-12,0,天山,天山,13019,天山,あまやま,51,33.821325,132.780593,18,2,2.22
34.692682,132.780364,平佐山,ひらさやま,2012-10-12,0,平佐山,平佐山,12057,平佐山,ひらさやま,412,34.692739,132.780502,18,2,14.13
35.302518,132.780208,大袋山,おおぶくろやま,2012-10-12,0,大袋山,大袋山,12331,大袋山,おおぶくろやま,359,35.302497,132.780207,45,2,2.39
33.879224,132.771575,大久保山,おおくぼやま,2012-10-12,0,大久保山,大久保山,13045,大久保山,おおくぼやま,177,33.879206,132.771549,18,2,3.18
34.934657,132.774772,大原山,おおはらやま,2012-10-12,0,大原山,大原山,12245,大原山,おおはらやま,710,34.934686,132.774761,36,2,3.40
33.278874,132.770086,戸祇御前山,とぎごぜんやま,2012-10-12,0,戸祇御前山,戸祇御前山,12877,戸祇御前山,とぎごぜんやま,947,33.278909,132.770143,45,2,6.51
35.409371,132.773739,鳶が巣山,とびがすやま,2012-10-12,0,鳶が巣山,鳶が巣山,12593,鳶が巣山,とびがすやま,281,35.409347,132.773744,27,2,2.71
33.629752,132.778217,コクゾ峰,こくぞみね,2012-10-12,0,コクゾ峰,コクゾ峰,12997,コクゾ峰,こくぞみね,825,33.629731,132.778201,45,2,2.74
34.879191,132.769942,梶谷山,かじたにやま,2012-10-12,0,梶谷山,梶谷山,12149,梶谷山,かじたにやま,501,34.879156,132.769924,18,2,4.23
33.51343,132.776775,高森山,たかもりやま,2012-10-12,0,高森山,高森山,12969,高森山,たかもりやま,820,33.513428,132.776739,36,2,3.39
34.681599,132.772169,毛宗坊山,もうそうぼうやま,2012-10-12,0,毛宗坊山,毛宗坊山,12056,毛宗坊山,もうそうぼうやま,480,34.681544,132.772179,18,2,6.19
33.855891,132.773269,御幸寺山,みゆきじさん,2012-10-12,0,御幸寺山,御幸寺山,13049,御幸寺山,みゆきじさん,165,33.855896,132.773337,27,2,6.26
35.231207,132.777067,陣ヶ丸,じんがまる,2012-10-12,0,陣ヶ丸,陣ヶ丸,12317,陣ヶ丸,じんがまる,538,35.231208,132.777062,36,2,0.52
33.540485,132.775608,寒台山,かんだいやま,2012-10-12,0,寒台山,寒台山,12965,寒台山,かんだいやま,895,33.540500,132.775574,36,2,3.55
34.97738,132.779661,高山,たかやま,2012-10-12,0,高山,高山,12241,高山,たかやま,803,34.977329,132.779752,27,2,10.08
32.851932,129.894094,琴ノ尾岳,ことのをだけ,2012-10-12,0,琴ノ尾岳,琴ノ尾岳,15549,琴ノ尾岳,ことのおだけ,451,32.851880,129.894033,45,2,8.12
33.119074,129.895392,大平岳,おおひらだけ,2012-10-12,0,大平岳,大平岳,14912,大平岳,おおひらだけ,335,33.119078,129.895408,36,2,1.60
32.830413,129.894625,稗ノ岳,ひえのだけ,2012-10-12,0,稗ノ岳,稗ノ岳,15476,稗ノ岳,ひえのだけ,249,32.830356,129.894506,18,2,12.76
33.184041,129.901028,蓮花石山,れんげいしやま,2012-10-12,0,蓮花石山,蓮花石山,14973,蓮花石山,れんげいしやま,350,33.184036,129.901034,18,2,0.77
32.796274,129.895736,天竺山,てんじくやま,2012-10-12,0,天竺山,天竺山,14771,天竺山,てんじくやま,387,32.796159,129.895683,18,2,13.68
33.22368,129.8975,青螺山,せいらざん,2012-10-12,0,青螺山,青螺山,14970,青螺山,せいらざん,618,33.223658,129.897401,18,2,9.52
33.309643,129.897861,城古岳,じょうごだけ,2012-10-12,0,城古岳,城古岳,15012,城古岳,じょうごだけ,404,33.309604,129.897848,36,2,4.48
33.214152,129.901639,黒髪山,くろかみざん,2012-10-12,0,黒髪山,黒髪山,984,黒髪山,くろかみざん,516,33.214153,129.901679,18,1,3.69
29.829224,129.902314,ジンニョム岳,じんにょむだけ,2012-10-12,0,ジンニョム岳,ジンニョム岳,13832,ジンニョム岳,じんにょむだけ,437,29.829148,129.902306,18,2,8.54
31.833724,129.897186,遠目木山,とおめきやま,2012-10-12,0,遠目木山,遠目木山,14000,遠目木山,とおめきやま,423,31.833704,129.897174,54,2,2.53
32.745643,129.902125,英彦山,ひこさん,2012-10-12,0,英彦山,英彦山,14743,英彦山,ひこさん,401,32.745564,129.902088,18,2,9.43
33.443652,129.891717,野高山,のだかやま,2012-10-12,0,野高山,野高山,15471,野高山,のだかやま,260,33.443660,129.891620,36,2,9.08
26.545202,128.0073,辺野古岳,へのこだけ,2012-10-12,0,辺野古岳,辺野古岳,11043,辺野古岳,へのこだけ,332,26.545168,128.007311,18,2,4.00
26.585618,128.009939,名護岳,なごだけ,2012-10-12,0,名護岳,名護岳,11040,名護岳,なごだけ,345,26.585510,128.009846,36,2,15.16
35.491295,136.510164,小島山,おじまやま,2012-10-12,0,小島山,小島山,9316,小島山,おじまやま,863,35.491200,136.510214,36,2,11.45
35.28376,136.511197,笙ヶ岳,しょうがだけ,2012-10-12,0,笙ヶ岳,笙ヶ岳,709,笙ヶ岳,しょうがだけ,908,35.283640,136.511207,27,1,13.43
34.851638,136.512656,天王山,てんのうやま,2012-10-12,0,天王山,天王山,8853,天王山,てんのうやま,63,34.851407,136.512571,18,2,26.81
35.762395,136.514018,能郷白山,のうごうはくさん,2012-10-12,0,能郷白山,能郷白山,703,能郷白山,のうごうはくさん,1617,35.762394,136.514030,54,1,1.13
