lat,lon,name,kana,lfSpanFr,gaijiFlg,name1
33.720196,133.620047,杖ヶ森,つえがもり,2012-10-12,0,杖ヶ森
34.507599,133.616406,竜王山,りゅうおうざん,2012-10-12,0,竜王山
33.55253,133.615811,鉢伏山,はちぶせやま,2012-10-12,0,鉢伏山
35.329268,133.620331,二俣山,ふたまたせん,2012-10-12,0,二俣山
34.55696,133.618683,城山,しろやま,2012-10-12,0,城山
35.948785,136.129362,三床山,みとこやま,2012-10-12,0,三床山
33.949388,136.131372,龍門山,りゅうもんさん,2012-10-12,0,龍門山
36.026381,136.120791,天目山,てんもくざん,2012-10-12,0,天目山
36.023217,136.126916,天神山,てんじんやま,2012-10-12,0,天神山
34.888382,136.125547,岩尾山,いわおやま,2012-10-12,0,岩尾山
34.528755,136.130253,鎧岳,よろいだけ,2012-10-12,0,鎧岳
34.183532,131.030594,華山,げさん,2012-10-12,0,華山
32.119971,131.027775,国見岳,くにみだけ,2012-10-12,0,国見岳
34.303113,131.023106,白滝山,しらたきやま,2012-10-12,0,白滝山
32.521124,131.025844,五勇山,ごゆうざん,2012-10-12,0,五勇山
32.688524,131.030339,見岳山,みたけやま,2012-10-12,0,見岳山
31.868191,131.028453,長尾山,ながおやま,2012-10-12,0,長尾山
32.599671,131.028731,天主山,てんしゅうざん,2012-10-12,0,天主山
31.852524,131.025481,高尾山,たかおやま,2012-10-12,0,高尾山
33.192618,131.024522,湯ノ見岳,ゆのみだけ,2012-10-12,0,湯ノ見岳
33.51877,131.033218,経読岳,きょうよみだけ,2012-10-12,0,経読岳
34.202355,131.026081,鷹子山,たかのこやま,2012-10-12,0,鷹子山
33.509832,131.029456,小屋ヶ岳,こやがたけ,2012-10-12,0,小屋ヶ岳
34.278113,131.026022,城山,じょうやま,2012-10-12,0,城山
32.178324,131.023525,高滝山,たかだきやま,2012-10-12,0,高滝山
34.343246,131.033378,大藤山,おおとうやま,2012-10-12,0,大藤山
33.433174,131.025958,釣鐘山,つりがねやま,2012-10-12,0,釣鐘山
32.909174,131.027778,蛇ノ尾,じゃのお,2012-10-12,0,蛇ノ尾
27.820607,128.967344,宮城山,みやぐすくやま,2012-10-12,0,宮城山
32.925155,128.962503,バンヤノ峠,ばんやのとうげ,2012-10-12,0,バンヤノ峠
27.769941,128.964872,丹発山,たんぱつやま,2012-10-12,0,丹発山
26.364749,127.142544,義中山,ぎちゅやま,2012-10-12,0,義中山
39.097977,141.197287,岩森,いわもり,2012-10-12,0,岩森
39.570015,141.203592,愛宕山,あたごやま,2012-10-12,0,愛宕山
39.042579,141.197297,富士の根山,ふじのねさん,2012-10-12,0,富士の根山
39.537209,141.205759,黒石山,くろいしやま,2012-10-12,0,黒石山
38.963338,141.203624,烏兎ヶ森,うどがもり,2012-10-12,0,烏兎ヶ森
39.219871,141.206127,万松寺山,ばんしょうじやま,2012-10-12,0,万松寺山
39.580209,141.204148,館山,たてやま,2012-10-12,0,館山
42.900211,141.200536,札幌岳,さっぽろだけ,2012-07-30,0,札幌岳
39.825208,141.197246,大二子山,おおふたごやま,2012-10-12,0,大二子山
39.519515,141.203093,機織館山,はたおりだてやま,2012-10-12,0,機織館山
38.747913,141.198838,真龍山,またつやま,2012-10-12,0,真龍山
43.047756,141.202942,阿部山,あべやま,2012-07-30,0,阿部山
39.484809,141.20624,赤梅山,あかうめやま,2012-10-12,0,赤梅山
39.686688,141.207028,大森山,おおもりやま,2012-10-12,0,大森山
39.714716,141.196611,二ッ森山,ふたつもりやま,2012-10-12,0,二ッ森山
39.008438,141.200192,大平山,おおひらやま,2012-10-12,0,大平山
39.673827,141.204696,天狗森,てんぐもり,2012-10-12,0,天狗森
